id,datetime,userAgent,searchIsContextual,isInternal,actionCause,operatingSystemWithVersion,country,city,batchId,language,browserWithVersion,username,numberOfResults,splitTestRunVersion,anonymous,browser,responseTimeMs,searchCustomData,searchOriginLevel1,searchOriginLevel2,withResults,userId,originContext,originLevel3,causeV2,queryPipeline,deviceCategory,originLevel2,originLevel1,region,splitTestRunName,advancedQueryExpression,customDatas,visitorId,queryExpression,withClicks,mobile,visitId,c_jsuiversion,c_product,c_facetvalue
"20d163bb-89ec-4fb9-8fea-facb37558f68","2019-10-01 04:00:17.797","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","f","f","inputChange","Windows 7","Canada","Prince Albert","f8ba6d9c-1a6f-4da4-80ff-27a90958846a","en","Chrome 49.0","marjorie.richards@strongit.com","4038","","f","Chrome","68","{""c_recommendation"":""Training Courses"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_inputtitle"":""Subject"",""c_customvalue"":"""",""c_partnerstype"":""Distributors"",""c_product"":""Fitbit Flex 2 Bangle"",""c_partners"":""Inty"",""c_ipaddress"":""198.169.156.67""}","CommunityCaseCreation","","t","marjorie.richards@strongit.com","","","inputChange","","Personal computer","","CommunityCaseCreation","Saskatchewan","","($some(keywords: No connection, match: 1, removeStopWords: true, maximum: 300)) ($sort(criteria: relevancy))","{""c_recommendation"":""Training Courses"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_inputtitle"":""Subject"",""c_customvalue"":"""",""c_partnerstype"":""Distributors"",""c_product"":""Fitbit Flex 2 Bangle"",""c_partners"":""Inty"",""c_ipaddress"":""198.169.156.67""}","7c4355b3-4633-4f36-a7e9-6b98ec1fd5d5","no connection","f","f","3669cfa1-695b-47c3-a3f3-e4004f7dc4d5","0.0.0.0;0.0.0.0","Fitbit Flex 2 Bangle",""
"48177e83-9715-4545-b463-5e897646eedd","2019-10-01 04:00:50.372","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","f","f","searchboxSubmit","Windows 7","","","2ef68f14-784c-4c43-9a00-031aeb11cd80","en","Firefox 45.0","minnie.lawson@strongit.com","75","","f","Firefox","38","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value3"",""c_partnerstype"":""SI's"",""c_product"":""Speedbit Flex 2 Fitness"",""c_partners"":""Arizona Fitness Specialists"",""c_ipaddress"":""254.6.20.236""}","CommunitySearch","","t","minnie.lawson@strongit.com","","","searchboxSubmit","","Personal computer","","CommunitySearch","","","","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value3"",""c_partnerstype"":""SI's"",""c_product"":""Speedbit Flex 2 Fitness"",""c_partners"":""Arizona Fitness Specialists"",""c_ipaddress"":""254.6.20.236""}","4e31708f-ce4b-4801-afb6-75fcc2e8a7a6","broken screen","f","f","136ffc03-70fd-4652-ad05-edba66d81616","0.0.0.0;0.0.0.0","Speedbit Flex 2 Fitness",""
"5011e95e-46e5-4de1-969a-9f0901a49a04","2019-10-01 04:00:57.086","Mozilla/5.0 (Linux; Android 5.1.1; Nexus 6 Build/LYZ28E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.23 Mobile Safari/537.36","f","f","interfaceChange","Android 5.1 lollipop","United States","","6f72a986-b4af-47ca-881e-2cd832795bef","en","Chrome Mobile 48.0","pedro.brown@gmail.com","2493","","f","Chrome Mobile","104","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value2"",""c_partnerstype"":"""",""c_interfacechangeto"":"""",""c_product"":""Speedbit Zip Fitness Tracker"",""c_partners"":""ProFitYourSELF"",""c_entitlement"":""Basic"",""c_ipaddress"":""160.72.0.1""}","CommunitySearch","","t","pedro.brown@gmail.com","","","interfaceChange","","Smartphone","","CommunitySearch","North America","","","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value2"",""c_partnerstype"":"""",""c_interfacechangeto"":"""",""c_product"":""Speedbit Zip Fitness Tracker"",""c_partners"":""ProFitYourSELF"",""c_entitlement"":""Basic"",""c_ipaddress"":""160.72.0.1""}","57df9550-162c-4391-9759-21cb506e8896","fitbit charge","t","t","8370120a-412c-4288-96f2-da0b504a363e","0.0.0.0;0.0.0.0","Speedbit Zip Fitness Tracker",""
"c86e13d2-f284-4757-91b5-d797bfe0e1ad","2019-10-01 04:01:27.885","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","f","f","searchboxSubmit","Windows 7","China","","0a97f5ba-e20d-4b41-a4bf-2b0537bce2b1","en","Firefox 45.0","vera.allen@gmail.com","483","","f","Firefox","11","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value1"",""c_partnerstype"":""Distributors"",""c_product"":""Speedbit Zip Fitness Tracker"",""c_partners"":""Jackson & Larry"",""c_ipaddress"":""115.84.192.169""}","CommunitySearch","","t","vera.allen@gmail.com","","","searchboxSubmit","","Personal computer","","CommunitySearch","Asia","","","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value1"",""c_partnerstype"":""Distributors"",""c_product"":""Speedbit Zip Fitness Tracker"",""c_partners"":""Jackson & Larry"",""c_ipaddress"":""115.84.192.169""}","a28280fd-ab39-465e-aca1-0f1ad40b6e62","tracking watch","f","f","01bca777-e6b3-4aa0-a193-abaa9f8d97d9","0.0.0.0;0.0.0.0","Speedbit Zip Fitness Tracker",""
"9a31ba17-44a6-45d4-acba-3aff1cdf6c89","2019-10-01 04:02:00.444","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","f","f","searchboxSubmit","Windows 7","Italy","Poirino","d8133cbf-4eb8-4eb7-8a19-1bb4c959013d","en","Firefox 45.0","anonymous","1855","","t","Firefox","82","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":"""",""c_partnerstype"":""ISV"",""c_product"":""Speedbit Blaze Smart"",""c_partners"":""Algofit.com"",""c_ipaddress"":""94.83.225.54""}","CommunitySearch","","t","19536318-0c81-4bd7-9b4a-4e4ca4696522","","","searchboxSubmit","","Personal computer","","CommunitySearch","Turin","","","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":"""",""c_partnerstype"":""ISV"",""c_product"":""Speedbit Blaze Smart"",""c_partners"":""Algofit.com"",""c_ipaddress"":""94.83.225.54""}","19536318-0c81-4bd7-9b4a-4e4ca4696522","speedbit blaze broken","t","f","5c9ad51a-884d-43e3-8800-0ad71a086f3d","0.0.0.0;0.0.0.0","Speedbit Blaze Smart",""
"0bfa4ee3-8f2f-4b0a-938d-741f4ed16a47","2019-10-01 04:02:07.293","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","f","f","searchboxSubmit","Windows 7","Brazil","São Paulo","aea0b81a-1e77-4f37-8854-9e9428f375f1","en","Firefox 45.0","reginald.lewis@facebook.com","6854","","f","Firefox","137","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value3"",""c_partnerstype"":"""",""c_product"":""Fitbit Alta Fitness"",""c_partners"":""Algofit.com"",""c_ipaddress"":""179.77.216.101""}","CommunitySearch","","t","reginald.lewis@facebook.com","","","searchboxSubmit","","Personal computer","","CommunitySearch","Sao Paulo","","","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value3"",""c_partnerstype"":"""",""c_product"":""Fitbit Alta Fitness"",""c_partners"":""Algofit.com"",""c_ipaddress"":""179.77.216.101""}","6e745d97-13a1-4d84-a542-3835cc58806e","where could i find","f","f","8251bd5d-739f-4613-bbf1-0fce1e5c9165","0.0.0.0;0.0.0.0","Fitbit Alta Fitness",""
"fc5113b4-badf-403d-92f0-b6b91bd3c7a2","2019-10-01 04:02:53.513","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","f","f","searchboxSubmit","Windows 7","United States","","8743d215-b7f2-4345-8204-89e708e93882","en","Firefox 45.0","christian.rhodes@hexzone.com","327","","f","Firefox","28","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":"""",""c_partnerstype"":""ISV"",""c_product"":""Speedbit Blaze Smart"",""c_partners"":""J&J Fitness Inc"",""c_ipaddress"":""209.137.0.105""}","CommunitySearch","","t","christian.rhodes@hexzone.com","","","searchboxSubmit","","Personal computer","","CommunitySearch","North America","","","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":"""",""c_partnerstype"":""ISV"",""c_product"":""Speedbit Blaze Smart"",""c_partners"":""J&J Fitness Inc"",""c_ipaddress"":""209.137.0.105""}","a6fc7309-5e99-40bb-8cce-82130b2e17ed","update watch","f","f","b8708298-5058-4ede-96ae-fff5dc5e370d","0.0.0.0;0.0.0.0","Speedbit Blaze Smart",""
"6ab36288-c31d-45f1-8e5d-cf3f2f2a0be4","2019-10-01 04:03:16.984","Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4","f","f","inputChange","iOS 8","China","","d12b655f-7d53-4cfe-a358-e91c0579434e","en","Safari mobile 8.0","pedro.brown@apple.com","9112","","f","Safari mobile","59","{""c_recommendation"":""Training Courses"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_inputtitle"":""Subject"",""c_customvalue"":""Value2"",""c_partnerstype"":""ISV"",""c_product"":""Speedbit Blaze Smart"",""c_partners"":""Mortens Fitness Consultants"",""c_ipaddress"":""106.83.123.87""}","CommunityCaseCreation","","t","pedro.brown@apple.com","","","inputChange","","Smartphone","","CommunityCaseCreation","Chongqing","","($some(keywords: Tracking Watch, match: 1, removeStopWords: true, maximum: 300)) ($sort(criteria: relevancy))","{""c_recommendation"":""Training Courses"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_inputtitle"":""Subject"",""c_customvalue"":""Value2"",""c_partnerstype"":""ISV"",""c_product"":""Speedbit Blaze Smart"",""c_partners"":""Mortens Fitness Consultants"",""c_ipaddress"":""106.83.123.87""}","aae77b15-c2c4-4bca-b8d3-a750cf286c4f","tracking watch","t","t","8aefeca1-b656-4a46-a2f8-ca92362f4b59","0.0.0.0;0.0.0.0","Speedbit Blaze Smart",""
"96ad4e2f-830b-4424-8c65-99d36fdbc871","2019-10-01 04:03:22.248","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","f","f","searchboxSubmit","Windows 7","United States","Boardman","0a8cce83-df3b-47f1-b3e3-5928ade4dce7","en","Firefox 45.0","pedro.caldwell@gmail.com","193","","f","Firefox","93","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value1"",""c_partnerstype"":""SI's"",""c_product"":""Fitbit Alta Fitness"",""c_partners"":""Arizona Fitness Specialists"",""c_ipaddress"":""52.24.0.108""}","CommunitySearch","","t","pedro.caldwell@gmail.com","","","searchboxSubmit","","Personal computer","","CommunitySearch","Oregon","","","{""c_recommendation"":""Certifications"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value1"",""c_partnerstype"":""SI's"",""c_product"":""Fitbit Alta Fitness"",""c_partners"":""Arizona Fitness Specialists"",""c_ipaddress"":""52.24.0.108""}","91ac1373-e921-4ad5-a742-6175b6ef06cb","how to setup bluetooth with my cell phone","f","f","959c33bd-2b12-4e00-9c2d-35794d1c50b7","0.0.0.0;0.0.0.0","Fitbit Alta Fitness",""
"5e4ad4b7-b509-46bc-b9f1-d33ecba6554d","2019-10-01 04:03:44.737","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13E238","f","f","searchboxSubmit","iOS 9","Italy","Poirino","b39e34a9-5090-43e2-9a66-aee87f37a105","en","Safari mobile","marjorie.wagner@hexzone.com","5","","f","Safari mobile","22","{""c_recommendation"":""Status Upgrades"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value1"",""c_partnerstype"":""Distributors"",""c_product"":""Fitbit Flex 2 Bangle"",""c_partners"":""Algofit.com"",""c_ipaddress"":""94.83.225.54""}","CommunitySearch","","t","marjorie.wagner@hexzone.com","","","searchboxSubmit","","Smartphone","","CommunitySearch","Turin","","","{""c_recommendation"":""Status Upgrades"",""c_jsuiversion"":""0.0.0.0;0.0.0.0"",""c_customvalue"":""Value1"",""c_partnerstype"":""Distributors"",""c_product"":""Fitbit Flex 2 Bangle"",""c_partners"":""Algofit.com"",""c_ipaddress"":""94.83.225.54""}","29af4521-15d5-47ad-8efa-87afd4c37d80","mortens fitness","f","t","dfa24739-2f2b-4c87-a522-463b24871d48","0.0.0.0;0.0.0.0","Fitbit Flex 2 Bangle",""
